=======================================================
ALL-GRID MATHEMATICAL PATTERN REPORT
Target Character: 'A'
Total File Size: 243496 characters
Grid Dimensions: 100 cols x 2435 rows
=======================================================

Row 0001 [Slots      0..    99] | Count: 25 | Type: IRREGULAR_CLUSTER  | Formula: Start #5, Deltas: 1.8.2.2.1.1...
Row 0002 [Slots    100..   199] | Count: 25 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 100 + (4 * k) [k=0..24]
Row 0003 [Slots    200..   299] | Count: 34 | Type: IRREGULAR_CLUSTER  | Formula: Start #200, Deltas: 4.3.1.6.3.5...
Row 0004 [Slots    300..   399] | Count:  6 | Type: IRREGULAR_CLUSTER  | Formula: Start #300, Deltas: 1.3.3.2.29
Row 0005 [Slots    400..   499] | Count: 32 | Type: IRREGULAR_CLUSTER  | Formula: Start #417, Deltas: 1.2.2.2.4.4...
Row 0006 [Slots    500..   599] | Count:  6 | Type: IRREGULAR_CLUSTER  | Formula: Start #550, Deltas: 2.3.1.6.2
Row 0007 [Slots    600..   699] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0008 [Slots    700..   799] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #709, Deltas: 13.13.44.19
Row 0009 [Slots    800..   899] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0010 [Slots    900..   999] | Count:  6 | Type: IRREGULAR_CLUSTER  | Formula: Start #919, Deltas: 4.29.15.5.19
Row 0011 [Slots   1000..  1099] | Count:  1 | Type: SINGLE             | Formula: Slot #1088 (Offset +88)
Row 0012 [Slots   1100..  1199] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #1112, Deltas: 41.15.18
Row 0013 [Slots   1200..  1299] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #1206, Deltas: 24.6
Row 0014 [Slots   1300..  1399] | Count:  1 | Type: SINGLE             | Formula: Slot #1367 (Offset +67)
Row 0015 [Slots   1400..  1499] | Count:  1 | Type: SINGLE             | Formula: Slot #1451 (Offset +51)
Row 0016 [Slots   1500..  1599] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #1507, Deltas: 54.31
Row 0017 [Slots   1600..  1699] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 1642 + (10 * k) [k=0..1]
Row 0018 [Slots   1700..  1799] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #1749, Deltas: 28.13
Row 0019 [Slots   1800..  1899] | Count:  1 | Type: SINGLE             | Formula: Slot #1814 (Offset +14)
Row 0020 [Slots   1900..  1999] | Count:  1 | Type: SINGLE             | Formula: Slot #1995 (Offset +95)
